condition,case_id,H_dam,z_surface_max,bed_z_at_gauge,h_local_max,u_x_max,u_mag_max,u_at_hmax,h_at_umax,max_h_u2,momentum_flux_proxy,Fr,time_hmax,time_umax,block_disp_pct_deq,gauge_names_used,gauge_x,gauge_y,gauge_z,notes
unblocked,hydro_unblocked_H0175,0.175,0.0492848,0.0,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.009589558372802726,9.589558372802726,2.5243759152476093,9.996011,2.180006,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction
unblocked,hydro_unblocked_H0200,0.2,0.0539599,0.0,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.013083367133825205,13.083367133825204,2.5626431896284254,9.99901,1.971004,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction
unblocked,hydro_unblocked_H0210,0.21,0.0536393,0.0,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.014014706772764262,14.014706772764262,2.4684101793206237,9.999018,1.995023,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction
unblocked,hydro_unblocked_H0225,0.225,0.059209,0.0,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.016752776801275474,16.752776801275473,2.6097730115118285,9.999018,1.875012,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction
