condition,case_id,H_dam,z_surface_max,bed_z_at_gauge,h_local_max,u_x_max,u_mag_max,u_at_hmax,h_at_umax,max_h_u2,momentum_flux_proxy,Fr,time_hmax,time_umax,block_disp_pct_deq,gauge_names_used,gauge_x,gauge_y,gauge_z,notes
unblocked,hydro_unblocked_H0175,0.175,0.0492848,0.0,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.009589558372802726,9.589558372802726,2.5243759152476093,9.996011,2.180006,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction
unblocked,hydro_unblocked_H0200,0.2,0.0539599,0.0,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.013083367133825205,13.083367133825204,2.5626431896284254,9.99901,1.971004,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction
unblocked,hydro_unblocked_H0210,0.21,0.0536393,0.0,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.014014706772764262,14.014706772764262,2.4684101793206237,9.999018,1.995023,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction
unblocked,hydro_unblocked_H0225,0.225,0.059209,0.0,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.016752776801275474,16.752776801275473,2.6097730115118285,9.999018,1.875012,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction
with_block_ref,hydro_withblock_ref_H0175,0.175,0.066297,0.0,0.066297,0.777822,0.7787053742913169,0.00127523,0.01254,0.007586788578597361,7.5867885785973606,2.217670148969465,9.993018,2.324019,1.2336256319369425,V05;hmax03,5.25,0.5119,0.05,new run; stable obstruction reference for interaction diagnostics
with_block_ref,hydro_withblock_ref_H0200,0.2,0.068207,0.0,0.068207,0.758525,0.7609507086241855,0.00154607,0.0117384,0.00800974766762316,8.00974766762316,2.3026540937367335,9.999021,2.030011,1.231651438362091,V05;hmax03,5.25,0.5119,0.05,new run; stable obstruction reference for interaction diagnostics
with_block_ref,hydro_withblock_ref_H0210,0.21,0.0691859,0.0,0.0691859,0.86814,0.8699336150803232,-0.000144643,0.0105913,0.00798231392834148,7.98231392834148,2.6932745577214487,9.978003,1.922013,1.2326385281430798,V05;hmax03,5.25,0.5119,0.05,new run; stable obstruction reference for interaction diagnostics
with_block_ref,hydro_withblock_ref_H0225,0.225,0.0714007,0.0,0.0714007,0.820841,0.8251133345170347,0.00190801,0.0151991,0.010240848796718648,10.240848796718648,2.2374029129980078,9.998001,2.037006,1.2596415718042286,V05;hmax03,5.25,0.5119,0.05,new run; stable obstruction reference for interaction diagnostics
