H_dam,h_ratio_with_block_over_unblocked,u_ratio_with_block_over_unblocked,momentum_ratio_with_block_over_unblocked,block_disp_pct_deq,notes
0.175,1.3451814758302763,0.9715476248468339,0.791150987736256,1.2336256319369425,with_block_ref / unblocked by H_dam
0.2,1.2640312528377555,0.92703831713565,0.6122084311855076,1.231651438362091,with_block_ref / unblocked by H_dam
0.21,1.2898359971140563,1.004417335206092,0.5695669597493154,1.2326385281430798,with_block_ref / unblocked by H_dam
0.225,1.205909574557922,0.9158882154461385,0.611292618423649,1.2596415718042286,with_block_ref / unblocked by H_dam
