H_dam,h_ratio_with_block_over_unblocked,u_ratio_with_block_over_unblocked,momentum_ratio_with_block_over_unblocked,block_disp_pct_deq,notes,source_export
0.175,1.3451814758302765,0.971547624846834,0.791150987736256,1.2336256319369423,with_block_ref / unblocked by H_dam,hydraulic_characterization_phase1_complete_20260525
0.2,1.2640312528377555,0.92703831713565,0.6122084311855076,1.231651438362091,with_block_ref / unblocked by H_dam,hydraulic_characterization_phase1_complete_20260525
0.21,1.2898359971140565,1.004417335206092,0.5695669597493154,1.2326385281430798,with_block_ref / unblocked by H_dam,hydraulic_characterization_phase1_complete_20260525
0.225,1.205909574557922,0.9158882154461384,0.611292618423649,1.2596415718042286,with_block_ref / unblocked by H_dam,hydraulic_characterization_phase1_complete_20260525
0.1875,1.3513517359424136,0.9413014285648812,0.7750912062908747,1.2326385281430798,with_block_ref / unblocked by H_dam,hydraulic_characterization_phase2_20260526
0.205,1.2549625811878469,0.9824326248151088,0.6688115501056293,1.2316514383620971,with_block_ref / unblocked by H_dam,hydraulic_characterization_phase2_20260526
0.2175,1.2345586643458983,0.936066733161936,0.713499888262885,1.2326385281430798,with_block_ref / unblocked by H_dam,hydraulic_characterization_phase2_20260526
