case_id,file,bytes
hydro_withblock_ref_H0175,GaugesMaxZ_hmax02.csv,301178
hydro_withblock_ref_H0175,GaugesMaxZ_hmax03.csv,364506
hydro_withblock_ref_H0175,GaugesMaxZ_hmax04.csv,364152
hydro_withblock_ref_H0175,GaugesMaxZ_hmax05.csv,385175
hydro_withblock_ref_H0175,GaugesMaxZ_hmax06.csv,356592
hydro_withblock_ref_H0175,GaugesMaxZ_hmax07.csv,338733
hydro_withblock_ref_H0175,GaugesMaxZ_hmax08.csv,340045
hydro_withblock_ref_H0175,GaugesVel_V01.csv,593454
hydro_withblock_ref_H0175,GaugesVel_V02.csv,547547
hydro_withblock_ref_H0175,GaugesVel_V03.csv,563601
hydro_withblock_ref_H0175,GaugesVel_V04.csv,527123
hydro_withblock_ref_H0175,GaugesVel_V05.csv,565465
hydro_withblock_ref_H0175,GaugesVel_V06.csv,360069
hydro_withblock_ref_H0175,GaugesVel_V07.csv,540186
hydro_withblock_ref_H0175,GaugesVel_V08.csv,482715
hydro_withblock_ref_H0175,GaugesVel_V09.csv,454224
hydro_withblock_ref_H0175,GaugesVel_V10.csv,488712
hydro_withblock_ref_H0175,GaugesVel_V11.csv,423594
hydro_withblock_ref_H0175,GaugesVel_V12.csv,280069
hydro_withblock_ref_H0175,Run.csv,1091
hydro_withblock_ref_H0175,RunPARTs.csv,2546
hydro_withblock_ref_H0200,ChronoBody_forces.csv,1624305
hydro_withblock_ref_H0200,ChronoExchange_mkbound_51.csv,1644215
hydro_withblock_ref_H0200,GaugesMaxZ_hmax01.csv,336936
hydro_withblock_ref_H0200,GaugesMaxZ_hmax02.csv,301004
hydro_withblock_ref_H0200,GaugesMaxZ_hmax03.csv,364016
hydro_withblock_ref_H0200,GaugesMaxZ_hmax04.csv,362961
hydro_withblock_ref_H0200,GaugesMaxZ_hmax05.csv,383331
hydro_withblock_ref_H0200,GaugesMaxZ_hmax06.csv,354870
hydro_withblock_ref_H0200,GaugesMaxZ_hmax07.csv,337067
hydro_withblock_ref_H0200,GaugesMaxZ_hmax08.csv,339222
hydro_withblock_ref_H0200,GaugesVel_V01.csv,593001
hydro_withblock_ref_H0200,GaugesVel_V02.csv,551559
hydro_withblock_ref_H0200,GaugesVel_V03.csv,563404
hydro_withblock_ref_H0200,GaugesVel_V04.csv,528159
hydro_withblock_ref_H0200,GaugesVel_V05.csv,570629
hydro_withblock_ref_H0200,GaugesVel_V06.csv,360069
hydro_withblock_ref_H0200,GaugesVel_V07.csv,544332
hydro_withblock_ref_H0200,GaugesVel_V08.csv,490383
hydro_withblock_ref_H0200,GaugesVel_V09.csv,463913
hydro_withblock_ref_H0200,GaugesVel_V10.csv,495165
hydro_withblock_ref_H0200,GaugesVel_V11.csv,431998
hydro_withblock_ref_H0200,GaugesVel_V12.csv,281408
hydro_withblock_ref_H0200,Run.csv,1086
hydro_withblock_ref_H0200,RunPARTs.csv,2550
hydro_withblock_ref_H0210,ChronoBody_forces.csv,1615565
hydro_withblock_ref_H0210,ChronoExchange_mkbound_51.csv,1645301
hydro_withblock_ref_H0210,GaugesMaxZ_hmax01.csv,336836
hydro_withblock_ref_H0210,GaugesMaxZ_hmax02.csv,300981
hydro_withblock_ref_H0210,GaugesMaxZ_hmax03.csv,363885
hydro_withblock_ref_H0210,GaugesMaxZ_hmax04.csv,363189
hydro_withblock_ref_H0210,GaugesMaxZ_hmax05.csv,382728
hydro_withblock_ref_H0210,GaugesMaxZ_hmax06.csv,353600
hydro_withblock_ref_H0210,GaugesMaxZ_hmax07.csv,336074
hydro_withblock_ref_H0210,GaugesMaxZ_hmax08.csv,328047
hydro_withblock_ref_H0210,GaugesVel_V01.csv,593806
hydro_withblock_ref_H0210,GaugesVel_V02.csv,548091
hydro_withblock_ref_H0210,GaugesVel_V03.csv,563651
hydro_withblock_ref_H0210,GaugesVel_V04.csv,528436
hydro_withblock_ref_H0210,GaugesVel_V05.csv,569552
hydro_withblock_ref_H0210,GaugesVel_V06.csv,360069
hydro_withblock_ref_H0210,GaugesVel_V07.csv,548193
hydro_withblock_ref_H0210,GaugesVel_V08.csv,491608
hydro_withblock_ref_H0210,GaugesVel_V09.csv,466471
hydro_withblock_ref_H0210,GaugesVel_V10.csv,498517
hydro_withblock_ref_H0210,GaugesVel_V11.csv,435094
hydro_withblock_ref_H0210,GaugesVel_V12.csv,347372
hydro_withblock_ref_H0210,Run.csv,1083
hydro_withblock_ref_H0210,RunPARTs.csv,2549
