x_m,z_m
6.429009675979614,0.06017557007074356
6.421583151817321,0.05347840172052384
6.41767427444458,0.03636326891183853
6.4171509933471675,0.03333726090192795
6.41704761505127,0.028137190163135532
6.419754180908203,0.02554218457825482
6.4209140062332155,0.025077082708477975
6.557686061859131,0.027936803221702576
6.57525128364563,0.028762564182281496
6.577116103172302,0.02887327951192856
6.579780883789063,0.029033507227897645
6.584001083374023,0.029418219745159152
6.587929258346557,0.033451191604137426
6.588086929321289,0.03730709773302078
6.5825518703460695,0.04838127237558365
6.580218229293823,0.0527835665345192
6.576978435516358,0.056103654921054846
6.572387542724609,0.057881980955600744
6.506208526492119,0.06366750818490982
6.501686602532864,0.06402927261590957
6.462850894927978,0.065020638525486
6.4562504720687866,0.064872613966465
6.446359601020813,0.06370499235391616
6.434393787384034,0.06181296449899674
6.429009675979614,0.06017557007074356
