x_m,y_m
6.420485906600952,0.5431492185592651
6.42819845199585,0.4543778467178345
6.434717698097229,0.42262202739715576
6.435886449813843,0.417807035446167
6.442763109207153,0.40232439041137696
6.445297713279724,0.39879164695739744
6.449143619537353,0.3979093742370605
6.45286117553711,0.4007514381408691
6.5788724327087404,0.5075433802604675
6.584513111114502,0.513824645280838
6.587929258346557,0.5179959094524383
6.588086929321289,0.5207387113571167
6.575544605255127,0.538349757194519
6.563944029808044,0.5520979309082031
6.559955072402954,0.556052770614624
6.554921946525574,0.5585495138168335
6.535397024154663,0.5673205804824829
6.528709871768951,0.5703154468536377
6.522822721004486,0.5727858304977417
6.4388625431060795,0.6077684497833252
6.433973288536071,0.6078732013702393
6.428990712165833,0.6042471027374268
6.422578701972961,0.5994511318206788
6.4171509933471675,0.5915635776519775
6.41704761505127,0.587251615524292
6.417466497421264,0.5797072315216064
6.420485906600952,0.5431492185592651
