case_id,dam_height,boulder_mass,friction_coefficient,dp003_ref,dp003_class,dp003_disp_pct_deq,dp002_class,dp002_disp_pct_deq,delta_dp002_minus_dp003_disp_pct_deq,delta_ratio_pct,dp002_margin_pct_deq,class_changed
dp002_midH_m115_mu06525,0.21,1.15,0.6525,al8_midH_m115_mu06525,FALLO,5.0907817129639925,ESTABLE,2.423394640383145,-2.6673870725808477,-52.396414204682564,2.5766053596168548,True
dp002_midH_m115_mu06675,0.21,1.15,0.6675,al8_midH_m115_mu06675,ESTABLE,3.2010924233331206,ESTABLE,1.9236233166928365,-1.2774691066402841,-39.907285941782526,3.0763766833071635,False
dp002_midH_m125_mu05900,0.21,1.25,0.59,al8_midH_m125_mu05900,FALLO,5.18663964781214,ESTABLE,2.2050304850757856,-2.981609162736355,-57.48633730500393,2.7949695149242144,True
dp002_midH_m125_mu06000,0.21,1.25,0.6,al8_midH_m125_mu06000,ESTABLE,2.93864507814798,ESTABLE,2.0343407097594914,-0.9043043683884884,-30.772833885690186,2.965659290240509,False
dp002_highH_m100_mu08640,0.225,1.0,0.864,al6_highH_m100_mu0864,FALLO,5.079949158658028,ESTABLE,4.320203695155047,-0.7597454635029814,-14.9557690396981,0.6797963048449533,True
dp002_highH_m115_mu07525,0.225,1.15,0.7525,al6_highH_m115_mu07525,FALLO,5.397515365925935,ESTABLE,3.612327902249696,-1.7851874636762393,-33.07424514149564,1.387672097750304,True
