dp002_case,dp003_reference_case,dam_height,boulder_mass,friction_coefficient,dp002_class,dp002_disp_pct_deq,dp002_margin_pct_deq,dp003_class,dp003_disp_pct_deq,dp003_margin_pct_deq,delta_dp002_minus_dp003_disp_pct_deq,class_changed
dp002_midH_m115_mu06525,al8_midH_m115_mu06525,0.21,1.15,0.6525,ESTABLE,2.423394640383145,2.5766053596168548,FALLO,5.0907817129639925,-0.0907817129639925,-2.6673870725808477,True
dp002_midH_m115_mu06675,al8_midH_m115_mu06675,0.21,1.15,0.6675,ESTABLE,1.9236233166928365,3.0763766833071635,ESTABLE,3.2010924233331206,1.7989075766668794,-1.2774691066402843,False
dp002_midH_m125_mu05900,al8_midH_m125_mu05900,0.21,1.25,0.59,ESTABLE,2.2050304850757856,2.7949695149242144,FALLO,5.18663964781214,-0.1866396478121403,-2.981609162736355,True
dp002_midH_m125_mu06000,al8_midH_m125_mu06000,0.21,1.25,0.6,ESTABLE,2.0343407097594914,2.965659290240509,ESTABLE,2.93864507814798,2.06135492185202,-0.9043043683884884,False
