case_id,status,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,moved,rotated,max_displacement_m,disp_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,output_path,quality_flags,notas,batch,source_file,case_name,disp_margin_pct,sim_time_reached_s,n_timesteps,hardware,failed,max_displacement_pct_deq,sim_time_reached,flow_gauge_id,flow_gauge_distance,water_gauge_id,water_gauge_distance,disp_mm,margin_mm,margin_pct_deq,max_rotation,max_velocity,max_sph_force,max_contact_force,max_flow_velocity,max_water_height,disp_pct_deq_unified,margin_train_pct_deq,class_from_margin,is_partial_or_diagnostic,is_official,selection_reason,used_for_gp
al1_base_m085_mu0780,OK_SQLITE,0.003,0.2,0.85,0.0,0.78,20.0,displacement_only,0.500009,FALLO,1,1,0.0076723611750228,7.640228300516158,6.09278432043761,0.1003360992514658,8.239863667599664,9057.936564890537,0.8049792931629297,0.0675525,,,,,complete_postprocess_sqlite,,al1,exports/al_batch1_hybrid_20260514/al_batch1_summary.csv,al1_base_m085_mu0780,,,9500.0,,1,7.640228300516158,9.999003,V05,0.0682724043007129,hmax03,1.2294201683675927,,,-2.640228300516158,,,,,,,7.640228300516158,-2.640228300516158,FALLO,False,True,included,True
al3_base_m085_mu0800,,0.003,0.2,0.85,0.0,0.8,20.0,displacement_only,0.500009,ESTABLE,0,1,0.0048730074902464,4.852578136292625,,,,,,,,,,,,,al3,exports/al_batch3_gp_after_al2_20260518/al_batch3_summary.csv,al3_base_m085_mu0800,,,,,,,,,,,,4.873007490246416,0.1480425097535835,0.14742186370737542,5.485664522085381,0.1003312385800155,8.726496983899095,9061.384378972123,0.744266003287803,0.0685221,4.852578136292625,0.14742186370737542,ESTABLE,False,True,included,True
al2_base_m085_mu0820,,0.003,0.2,0.85,0.0,0.82,20.0,displacement_only,0.500009,ESTABLE,0,0,0.0022893092844784,2.2797116982289385,,,,,,,,,,,,,al2,exports/al_batch2_bracket_closing_20260516/al_batch2_summary.csv,al2_base_m085_mu0820,,,,,,,,,,,,2.2893092844784824,2.731740715521517,2.7202883017710615,4.872577971080158,0.1002424058420387,8.450824907893963,9082.027699190196,0.7474536599321994,0.0678947,2.2797116982289385,2.7202883017710615,ESTABLE,False,True,included,True
al2_base_m085_mu0860,,0.003,0.2,0.85,0.0,0.86,20.0,displacement_only,0.500009,ESTABLE,0,0,0.0014495378573879,1.4434608870534689,,,,,,,,,,,,,al2,exports/al_batch2_bracket_closing_20260516/al_batch2_summary.csv,al2_base_m085_mu0860,,,,,,,,,,,,1.4495378573879638,3.571512142612036,3.556539112946531,4.778049562346237,0.1001094167798414,9.5848704650738,9108.008388779845,0.7605465215787395,0.0685117,1.4434608870534689,3.556539112946531,ESTABLE,False,True,included,True
prod_pilot_fail_low_mu,OK,0.003,0.2,1.0,0.0,0.6,20.0,displacement_only,0.500009,FALLO,True,True,0.0425578396,42.3796,10.67676,0.09999663,7.907165,10844.9432,0.7536371,0.0677817,249.6686,17525854.0,3338.543,data/processed/prod_pilot_fail_low_mu,OK;displacement_only;reference_time_s_0.5;rotation_diagnostic_exceeds_5deg,falla fisica por desplazamiento; rotacion solo diagnostica,pilot,exports/pilot_productivo_20260501/pilot_summary.csv,prod_pilot_fail_low_mu,,,,,,,,,,,,,,-37.3796,,,,,,,42.3796,-20.0,FALLO,False,True,included,True
batch2_base_mu0675,OK,0.003,0.2,1.0,0.0,0.675,20.0,displacement_only,0.500009,FALLO,True,True,0.0060155878349502,5.990393748726357,5.332407382314178,0.0999956335196692,8.287064993938506,10767.29615584203,0.7639283615056732,0.068382,250.38850911666665,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_base_mu0675,,,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,batch2_base_mu0675,0.9903937487263574,,,,,,,,,,,,,-0.9903937487263574,,,,,,,5.990393748726357,-0.9903937487263574,FALLO,False,True,included,True
batch3_base_mu0678,OK,0.003,0.2,1.0,0.0,0.678,20.0,displacement_only,0.500009,FALLO,True,True,0.0065624530474507,6.534968616593035,5.563638956052998,0.0999966822049611,8.78614783433451,10761.454118910691,0.7301260267114184,0.0683093,253.36031901666664,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0678,rotation_diagnostic_only,,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,batch3_base_mu0678,1.5349686165930354,9.99901,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,,,,-1.5349686165930354,,,,,,,6.534968616593035,-1.5349686165930354,FALLO,False,True,included,True
batch3_base_mu0680,OK,0.003,0.2,1.0,0.0,0.68,20.0,displacement_only,0.500009,FALLO,True,True,0.0081214610754467,8.08744731050584,5.864659461299195,0.0999966822049611,8.37318304000032,10755.302259345484,0.7599104895518485,0.068941,252.6423177,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0680,rotation_diagnostic_only,,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,batch3_base_mu0680,3.0874473105058406,9.999014,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,,,,-3.0874473105058406,,,,,,,8.08744731050584,-3.0874473105058406,FALLO,False,True,included,True
prod_pilot_frontier,OK,0.003,0.2,1.0,0.0,0.6806,20.0,displacement_only,0.500009,FALLO,True,True,0.00504214795,5.021031,5.07661,0.09999668,9.175133,10753.7615,0.8166953,0.0679667,249.3627,17525854.0,3338.543,data/processed/prod_pilot_frontier,OK;displacement_only;reference_time_s_0.5;rotation_diagnostic_exceeds_5deg;near_displacement_threshold,falla fisica por desplazamiento; rotacion solo diagnostica,pilot,exports/pilot_productivo_20260501/pilot_summary.csv,prod_pilot_frontier,,,,,,,,,,,,,,-0.0210309999999998,,,,,,,5.021031,-0.0210309999999998,FALLO,False,True,included,True
batch4_mass_m100_H0200_mu0681,OK_SQLITE,0.003,0.2,1.0,0.0,0.681,20.0,displacement_only,0.500009,ESTABLE,0,1,0.0042962910748693,4.278297633371513,5.203381145335124,0.0999976809431098,8.352211079012312,10752.83374056948,0.7298531669072721,0.0682437,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m100_H0200_mu0681,,,9500.0,,0,4.278297633371513,9.999014,V05,0.0682724043007129,hmax03,1.2294201683675927,,,0.7217023666284872,,,,,,,4.278297633371513,0.7217023666284872,ESTABLE,False,True,included,True
