family,family_label,source_csv,case_id,status,is_official,is_partial,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,max_displacement_m,disp_mm,disp_pct_deq,margin_mm,margin_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,family_order,margin_pct
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_lowH_mu0640,OK,True,False,0.003,0.175,1.0,0.0,0.64,20.0,displacement_only,0.500003,ESTABLE,0.001237494646453,1.2374946464530001,1.2323118534027673,3.7835553535469995,3.7676881465972327,4.939401915083683,0.0999956335346699,8.779234702552381,28525.445575361817,0.7453660133625359,0.0663773,214.1163737,16031854.0,3070.0230407714844,2,3.7676881465972327
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_lowH_mu0660,OK,True,False,0.003,0.175,1.0,0.0,0.66,20.0,displacement_only,0.500003,ESTABLE,0.001237647364963,1.237647364963,1.232463932307225,3.7834026350369996,3.7675360676927747,4.5307031224669325,0.0999945848583812,8.803778414154005,28412.417943449884,0.7265542056488146,0.0660636,210.55159505,16031854.0,3070.111618041992,2,3.7675360676927747
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_base_mu0678,OK,True,False,0.003,0.2,1.0,0.0,0.678,20.0,displacement_only,0.500009,FALLO,0.0065624530474507,6.5624530474507,6.534968616593035,-1.5414030474507001,-1.5349686165930354,5.563638956052998,0.0999966822049611,8.78614783433451,10761.454118910691,0.7301260267114184,0.0683093,253.36031901666664,17525854.0,3338.452796936035,2,-1.5349686165930354
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_base_mu0680,OK,True,False,0.003,0.2,1.0,0.0,0.68,20.0,displacement_only,0.500009,FALLO,0.0081214610754467,8.1214610754467,8.08744731050584,-3.1004110754467,-3.0874473105058406,5.864659461299195,0.0999966822049611,8.37318304000032,10755.302259345484,0.7599104895518485,0.068941,252.6423177,17525854.0,3338.452796936035,2,-3.0874473105058406
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_base_mu0682,OK,True,False,0.003,0.2,1.0,0.0,0.682,20.0,displacement_only,0.500009,ESTABLE,0.0042683773263383,4.2683773263383005,4.250500791351798,0.7526726736616993,0.749499208648202,5.332698290134056,0.0999987296219307,10.486210119261582,10750.352411514818,0.7516506483811556,0.0678944,253.16829426666663,17525854.0,3338.452796936035,2,0.749499208648202
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_midH_mu0700,OK,True,False,0.003,0.21,1.0,0.0,0.7,20.0,displacement_only,0.500012,FALLO,0.0240538323349938,24.0538323349938,23.9530916688294,-19.0327823349938,-18.9530916688294,8.270054106671035,0.1000665735248289,8.833249505838495,7833.597909995608,0.8700265850997773,0.0698018,267.00084635,18023854.0,3426.357315063477,2,-18.9530916688294
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_midH_mu0740,OK,True,False,0.003,0.21,1.0,0.0,0.74,20.0,displacement_only,0.500012,FALLO,0.0085925140674892,8.592514067489201,8.556527469631071,-3.5714640674892015,-3.556527469631071,6.269481206197968,0.1002071973912053,9.00030504025108,7806.279975346846,0.8680923218446066,0.0695065,268.8819010333333,18023854.0,3426.26676940918,2,-3.556527469631071
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_highH_mu0760,OK,True,False,0.003,0.225,1.0,0.0,0.76,20.0,displacement_only,0.500001,FALLO,0.0449646506713886,44.9646506713886,44.77633270195227,-39.943600671388594,-39.77633270195227,11.153884204480844,0.1002687840805901,9.3826260221252,70106.99358662817,0.9297746690414888,0.0730931,294.3225260333333,18853854.0,3577.782516479492,2,-39.77633270195227
batch3,Batch 3,exports\batch3_productivo_20260509\batch3_summary.csv,batch3_highH_mu0800,OK,True,False,0.003,0.225,1.0,0.0,0.8,20.0,displacement_only,0.500001,FALLO,0.0258348687823262,25.8348687823262,25.726668897369983,-20.8138187823262,-20.726668897369983,8.563652596578885,0.1002960776251992,9.999198628777007,70091.93643270886,0.8809587924147889,0.0722208,292.5385416666667,18853854.0,3577.6900024414062,2,-20.726668897369983
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m085_H0175_mu0560,OK_SQLITE,True,False,0.003,0.175,0.85,0.0,0.56,20.0,displacement_only,0.500003,FALLO,0.005483094199446,5.483094199446,5.460130267769664,-0.46204419944599984,-0.4601302677696637,5.299897422701339,0.0999976809431098,8.779646335853684,24286.046406597863,0.7555150506692835,0.0664387,,,,3,-0.4601302677696637
